Feature,Importance
contact,0.06353651044669058
month,0.0612652385794253
day,0.021186268440471456
poutcome,0.017696146957965862
balance,0.008464855536077232
campaign,0.008233005410664851
age,0.007096534972828317
housing,0.006652087503388327
pdays,0.006178456060690407
marital,0.004134802613122701
loan,0.002791588197624795
education,0.0012003662348945676
job,0.0011545927915408427
previous,0.0005574192158501412
default,-2.2028543594831972e-05
