Threshold,Accuracy,Precision,Recall,F1 Score,ROC AUC
<<<<<<< Updated upstream
0.6,0.8649784363596151,0.43783371472158655,0.5425330812854442,0.48459265512874633,0.8043255726415195
=======
<<<<<<< HEAD
0.2,0.2874046223598363,0.13667026443604965,0.9574669187145558,0.23919716646989375,0.804365995788417
=======
0.6,0.8649784363596151,0.43783371472158655,0.5425330812854442,0.48459265512874633,0.8043255726415195
>>>>>>> 9d51f97 (Updated model training and evaluation)
>>>>>>> Stashed changes
