model,accuracy,precision,recall,f1_score,roc_auc
XGBoost,0.9113126174941945,0.6636828644501279,0.4905482041587902,0.5641304347826087,0.9350339069119438
Logistic Regression,0.8457370341700763,0.41824357108199905,0.8147448015122873,0.5527412632253927,0.9079218714674134
Random Forest,0.9037929890523057,0.6793893129770993,0.33648393194706994,0.450063211125158,0.9295578429782686
